,nivel,p31,p4,p34_4,p34_4_1,p3_1
1050,3.0,2.0,2.0,1.0,1.0,1.0
1055,7.0,2.0,1.0,1.0,1.0,1.0
1056,7.0,2.0,2.0,1.0,4.0,1.0
1059,6.0,2.0,10.0,1.0,1.0,1.0
1066,4.0,2.0,2.0,1.0,6.0,1.0
1068,7.0,1.0,4.0,1.0,1.0,1.0
1077,4.0,2.0,4.0,1.0,1.0,1.0
1089,4.0,1.0,2.0,1.0,1.0,1.0
1091,4.0,1.0,5.0,1.0,1.0,1.0
1094,7.0,1.0,2.0,1.0,1.0,1.0
1097,7.0,2.0,3.0,1.0,1.0,1.0
1101,9.0,2.0,5.0,1.0,2.0,1.0
1113,7.0,1.0,5.0,1.0,5.0,1.0
1114,6.0,2.0,2.0,1.0,4.0,1.0
1115,7.0,2.0,5.0,1.0,5.0,1.0
1116,7.0,2.0,5.0,1.0,5.0,1.0
1117,7.0,1.0,8.0,1.0,5.0,1.0
1118,9.0,1.0,3.0,1.0,5.0,1.0
1119,4.0,1.0,5.0,1.0,2.0,1.0
1120,7.0,2.0,5.0,1.0,4.0,1.0
1125,8.0,1.0,5.0,1.0,5.0,1.0
1127,7.0,1.0,4.0,1.0,4.0,1.0
1137,7.0,2.0,2.0,1.0,1.0,1.0
1138,7.0,2.0,3.0,1.0,3.0,1.0
1139,7.0,2.0,2.0,1.0,4.0,1.0
1145,7.0,1.0,1.0,1.0,1.0,1.0
1148,3.0,2.0,5.0,1.0,1.0,1.0
1152,7.0,1.0,2.0,1.0,1.0,1.0
1155,7.0,2.0,10.0,1.0,2.0,1.0
1156,7.0,1.0,1.0,1.0,2.0,1.0
1161,7.0,1.0,3.0,1.0,1.0,1.0
1166,7.0,2.0,2.0,1.0,1.0,1.0
1168,7.0,1.0,1.0,1.0,2.0,1.0
1169,8.0,1.0,1.0,1.0,2.0,1.0
1172,7.0,1.0,2.0,1.0,1.0,1.0
1174,3.0,2.0,1.0,1.0,1.0,1.0
1178,7.0,1.0,3.0,1.0,4.0,1.0
1182,7.0,1.0,5.0,1.0,1.0,1.0
1186,3.0,1.0,1.0,1.0,2.0,1.0
1189,7.0,1.0,1.0,1.0,1.0,1.0
1191,7.0,1.0,1.0,1.0,2.0,1.0
1192,7.0,2.0,4.0,1.0,1.0,1.0
1200,7.0,1.0,4.0,1.0,1.0,1.0
1202,7.0,1.0,2.0,1.0,5.0,1.0
1205,7.0,1.0,2.0,1.0,2.0,1.0
1210,4.0,2.0,3.0,1.0,2.0,1.0
1212,3.0,1.0,1.0,1.0,1.0,1.0
1217,8.0,1.0,3.0,1.0,1.0,1.0
1219,4.0,2.0,1.0,1.0,1.0,1.0
1220,7.0,2.0,1.0,1.0,1.0,1.0
1221,4.0,1.0,2.0,1.0,5.0,1.0
1225,2.0,1.0,2.0,1.0,1.0,1.0
1227,7.0,2.0,2.0,1.0,1.0,1.0
1235,8.0,1.0,2.0,1.0,2.0,1.0
1236,7.0,1.0,3.0,1.0,1.0,1.0
1241,7.0,1.0,15.0,1.0,5.0,1.0
1242,3.0,1.0,2.0,1.0,1.0,1.0
1250,4.0,1.0,5.0,1.0,1.0,1.0
1251,7.0,1.0,2.0,1.0,1.0,1.0
1252,7.0,2.0,1.0,1.0,1.0,1.0
1259,7.0,2.0,2.0,1.0,1.0,1.0
1260,8.0,2.0,1.0,1.0,2.0,1.0
1262,7.0,2.0,1.0,1.0,5.0,1.0
1263,7.0,2.0,1.0,1.0,4.0,1.0
1264,4.0,2.0,2.0,1.0,1.0,1.0
1271,7.0,2.0,1.0,1.0,1.0,1.0
1282,3.0,2.0,2.0,1.0,1.0,1.0
1284,4.0,1.0,3.0,1.0,5.0,1.0
1289,6.0,1.0,20.0,1.0,1.0,1.0
1290,7.0,2.0,1.0,1.0,1.0,1.0
1291,7.0,1.0,5.0,1.0,1.0,1.0
1292,7.0,1.0,3.0,1.0,5.0,1.0
1294,2.0,1.0,2.0,1.0,1.0,1.0
1303,8.0,2.0,2.0,1.0,1.0,1.0
1304,7.0,2.0,5.0,1.0,2.0,1.0
1305,7.0,2.0,1.0,1.0,1.0,1.0
1306,8.0,1.0,4.0,1.0,2.0,1.0
1307,7.0,1.0,3.0,1.0,1.0,1.0
1309,7.0,1.0,1.0,1.0,1.0,1.0
1312,3.0,1.0,2.0,1.0,1.0,1.0
1314,2.0,2.0,2.0,1.0,1.0,1.0
1319,7.0,1.0,3.0,1.0,1.0,1.0
1324,7.0,1.0,2.0,1.0,1.0,1.0
1327,4.0,2.0,5.0,1.0,1.0,1.0
1328,7.0,1.0,5.0,1.0,5.0,1.0
1329,7.0,2.0,4.0,1.0,5.0,1.0
1331,7.0,1.0,4.0,1.0,1.0,1.0
1334,7.0,1.0,1.0,1.0,2.0,1.0
1335,7.0,1.0,1.0,1.0,1.0,1.0
1344,3.0,2.0,3.0,1.0,2.0,1.0
1347,8.0,1.0,3.0,1.0,1.0,1.0
1352,7.0,1.0,5.0,1.0,1.0,1.0
1354,7.0,1.0,3.0,1.0,2.0,1.0
1355,7.0,2.0,2.0,1.0,1.0,1.0
1370,3.0,1.0,3.0,1.0,1.0,1.0
1374,7.0,2.0,1.0,1.0,1.0,1.0
1375,8.0,2.0,2.0,1.0,2.0,1.0
1376,7.0,1.0,8.0,1.0,2.0,1.0
1382,7.0,1.0,2.0,1.0,5.0,1.0
1384,7.0,1.0,6.0,1.0,4.0,1.0
1390,7.0,2.0,2.0,1.0,1.0,1.0
1392,7.0,1.0,2.0,1.0,1.0,1.0
1396,7.0,1.0,6.0,1.0,1.0,1.0
1399,6.0,1.0,2.0,1.0,2.0,1.0
1406,7.0,1.0,1.0,1.0,1.0,1.0
1414,6.0,1.0,2.0,1.0,1.0,1.0
1416,6.0,2.0,2.0,1.0,2.0,1.0
1422,3.0,2.0,1.0,1.0,1.0,1.0
1426,7.0,1.0,3.0,1.0,1.0,1.0
1427,7.0,1.0,2.0,1.0,5.0,1.0
1433,7.0,1.0,4.0,1.0,1.0,1.0
1436,4.0,1.0,1.0,1.0,2.0,1.0
1438,4.0,2.0,4.0,1.0,2.0,1.0
1446,7.0,1.0,1.0,1.0,4.0,1.0
1449,7.0,1.0,15.0,1.0,4.0,1.0
1456,4.0,2.0,2.0,1.0,1.0,1.0
1458,3.0,2.0,1.0,1.0,2.0,1.0
1461,8.0,2.0,3.0,1.0,1.0,1.0
1463,7.0,1.0,2.0,1.0,1.0,1.0
1466,4.0,1.0,3.0,1.0,1.0,1.0
1474,4.0,1.0,12.0,1.0,2.0,1.0
1479,4.0,1.0,1.0,1.0,1.0,1.0
1482,3.0,2.0,8.0,1.0,1.0,1.0
1484,7.0,2.0,2.0,1.0,2.0,1.0
1489,8.0,1.0,2.0,1.0,5.0,1.0
1491,7.0,1.0,11.0,1.0,3.0,1.0
1492,4.0,2.0,2.0,1.0,1.0,1.0
1493,4.0,1.0,70.0,1.0,5.0,1.0
1498,2.0,1.0,1.0,1.0,1.0,1.0
1501,9.0,1.0,15.0,1.0,1.0,1.0
1503,7.0,1.0,15.0,1.0,3.0,1.0
1505,4.0,1.0,2.0,1.0,1.0,1.0
1512,3.0,2.0,1.0,1.0,2.0,1.0
1513,7.0,2.0,2.0,1.0,2.0,1.0
1514,7.0,1.0,5.0,1.0,3.0,1.0
1516,3.0,1.0,1.0,1.0,4.0,1.0
1519,7.0,1.0,1.0,1.0,1.0,1.0
1521,4.0,1.0,1.0,1.0,1.0,1.0
1527,3.0,2.0,2.0,1.0,1.0,1.0
1530,7.0,1.0,2.0,1.0,1.0,1.0
1533,3.0,2.0,1.0,1.0,1.0,1.0
1535,7.0,1.0,2.0,1.0,1.0,1.0
1538,3.0,2.0,1.0,1.0,1.0,1.0
1539,7.0,2.0,1.0,1.0,2.0,1.0
1541,3.0,2.0,2.0,1.0,2.0,1.0
1542,7.0,1.0,5.0,1.0,5.0,1.0
1544,4.0,2.0,5.0,1.0,1.0,1.0
1549,7.0,2.0,1.0,1.0,2.0,1.0
1550,7.0,1.0,6.0,1.0,2.0,1.0
1552,4.0,1.0,1.0,1.0,2.0,1.0
1555,7.0,2.0,8.0,1.0,5.0,1.0
1557,7.0,1.0,4.0,1.0,5.0,1.0
1564,7.0,2.0,5.0,1.0,2.0,1.0
1565,7.0,2.0,1.0,1.0,1.0,1.0
1566,7.0,2.0,1.0,1.0,1.0,1.0
1569,8.0,1.0,1.0,1.0,3.0,1.0
1570,4.0,1.0,6.0,1.0,3.0,1.0
1571,4.0,1.0,1.0,1.0,1.0,1.0
1573,7.0,2.0,1.0,1.0,6.0,1.0
1574,4.0,1.0,2.0,1.0,2.0,1.0
1577,6.0,1.0,3.0,1.0,3.0,1.0
1578,7.0,2.0,2.0,1.0,3.0,1.0
1579,4.0,2.0,2.0,1.0,2.0,1.0
1580,8.0,1.0,4.0,1.0,4.0,1.0
1585,6.0,1.0,2.0,1.0,1.0,1.0
1588,7.0,1.0,3.0,1.0,1.0,1.0
1595,7.0,1.0,8.0,1.0,1.0,1.0
1596,6.0,1.0,1.0,1.0,1.0,1.0
1598,4.0,1.0,2.0,1.0,1.0,1.0
1601,7.0,2.0,1.0,1.0,1.0,1.0
1602,7.0,1.0,2.0,1.0,3.0,1.0
1603,7.0,1.0,1.0,1.0,1.0,1.0
1604,7.0,1.0,2.0,1.0,2.0,1.0
1605,6.0,2.0,2.0,1.0,1.0,1.0
1611,4.0,2.0,1.0,1.0,1.0,1.0
1612,7.0,2.0,2.0,1.0,5.0,1.0
1613,7.0,2.0,1.0,1.0,1.0,1.0
1618,6.0,1.0,2.0,1.0,1.0,1.0
1629,4.0,1.0,1.0,1.0,2.0,1.0
1631,4.0,1.0,2.0,1.0,2.0,1.0
1632,7.0,1.0,3.0,1.0,2.0,1.0
1634,4.0,2.0,2.0,1.0,1.0,1.0
1636,7.0,2.0,1.0,1.0,2.0,1.0
1640,4.0,2.0,3.0,1.0,1.0,1.0
1654,4.0,2.0,3.0,1.0,1.0,1.0
1655,8.0,2.0,3.0,1.0,2.0,1.0
1657,4.0,1.0,1.0,1.0,1.0,1.0
1659,7.0,1.0,1.0,1.0,1.0,1.0
1665,7.0,2.0,2.0,1.0,1.0,1.0
1666,7.0,1.0,8.0,1.0,2.0,1.0
1667,3.0,2.0,4.0,1.0,2.0,1.0
1670,6.0,2.0,2.0,1.0,1.0,1.0
1671,6.0,1.0,8.0,1.0,1.0,1.0
1673,4.0,2.0,1.0,1.0,1.0,1.0
1675,7.0,2.0,4.0,1.0,2.0,1.0
1676,7.0,2.0,2.0,1.0,2.0,1.0
1682,7.0,2.0,1.0,1.0,2.0,1.0
1701,4.0,1.0,4.0,1.0,1.0,1.0
1702,4.0,2.0,1.0,1.0,1.0,1.0
1706,6.0,2.0,2.0,1.0,1.0,1.0
1712,6.0,1.0,1.0,1.0,2.0,1.0
1715,7.0,1.0,4.0,1.0,1.0,1.0
1721,7.0,1.0,3.0,1.0,1.0,1.0
1722,7.0,1.0,3.0,1.0,1.0,1.0
1723,7.0,1.0,12.0,1.0,2.0,1.0
1726,7.0,1.0,2.0,1.0,1.0,1.0
1732,7.0,2.0,3.0,1.0,2.0,1.0
1739,7.0,1.0,3.0,1.0,1.0,1.0
1740,4.0,2.0,2.0,1.0,1.0,1.0
1741,7.0,2.0,1.0,1.0,1.0,1.0
1742,6.0,1.0,1.0,1.0,4.0,1.0
1749,4.0,1.0,1.0,1.0,1.0,1.0
1753,3.0,1.0,15.0,1.0,2.0,1.0
1758,8.0,2.0,3.0,1.0,2.0,1.0
1760,7.0,1.0,6.0,1.0,4.0,1.0
1762,8.0,2.0,4.0,1.0,2.0,1.0
1767,4.0,1.0,5.0,1.0,3.0,1.0
1771,3.0,1.0,1.0,1.0,2.0,1.0
1772,4.0,2.0,1.0,1.0,4.0,1.0
1773,8.0,1.0,5.0,1.0,1.0,1.0
1774,9.0,1.0,2.0,1.0,2.0,1.0
1777,7.0,1.0,3.0,1.0,6.0,1.0
1779,7.0,2.0,1.0,1.0,1.0,1.0
1787,6.0,2.0,1.0,1.0,1.0,1.0
1788,4.0,1.0,1.0,1.0,1.0,1.0
1790,7.0,1.0,2.0,1.0,1.0,1.0
1791,8.0,1.0,10.0,1.0,5.0,1.0
1792,7.0,1.0,5.0,1.0,1.0,1.0
1797,7.0,1.0,2.0,1.0,1.0,1.0
1798,3.0,1.0,1.0,1.0,1.0,1.0
1799,7.0,1.0,3.0,1.0,1.0,1.0
1805,7.0,2.0,1.0,1.0,1.0,1.0
1806,4.0,2.0,1.0,1.0,1.0,1.0
1807,7.0,1.0,1.0,1.0,1.0,1.0
1814,6.0,2.0,2.0,1.0,2.0,1.0
1817,7.0,2.0,2.0,1.0,1.0,1.0
1825,7.0,1.0,1.0,1.0,1.0,1.0
1837,4.0,1.0,2.0,1.0,2.0,1.0
1843,2.0,1.0,1.0,1.0,1.0,1.0
1848,7.0,1.0,8.0,1.0,1.0,1.0
1854,3.0,1.0,3.0,1.0,2.0,1.0
1858,4.0,1.0,6.0,1.0,1.0,1.0
1868,5.0,1.0,3.0,1.0,4.0,1.0
1869,4.0,2.0,1.0,1.0,1.0,1.0
1870,4.0,1.0,2.0,1.0,1.0,1.0
1886,6.0,1.0,3.0,1.0,1.0,1.0
1888,7.0,2.0,3.0,1.0,1.0,1.0
1899,4.0,2.0,2.0,1.0,3.0,1.0
1900,7.0,1.0,3.0,1.0,4.0,1.0
1902,4.0,2.0,1.0,1.0,2.0,1.0
1904,2.0,2.0,3.0,1.0,3.0,1.0
1906,7.0,2.0,2.0,1.0,3.0,1.0
1907,6.0,2.0,3.0,1.0,3.0,1.0
1911,4.0,2.0,2.0,1.0,2.0,1.0
1912,4.0,2.0,1.0,1.0,1.0,1.0
1917,7.0,1.0,4.0,1.0,4.0,1.0
1918,7.0,2.0,3.0,1.0,4.0,1.0
1923,4.0,1.0,4.0,1.0,3.0,1.0
1926,7.0,2.0,2.0,1.0,3.0,1.0
1928,4.0,2.0,12.0,1.0,4.0,1.0
1929,7.0,1.0,3.0,1.0,2.0,1.0
1930,7.0,2.0,4.0,1.0,2.0,1.0
1931,3.0,1.0,5.0,1.0,1.0,1.0
1935,3.0,2.0,2.0,1.0,3.0,1.0
1936,7.0,2.0,2.0,1.0,2.0,1.0
1938,2.0,1.0,4.0,1.0,3.0,1.0
1945,8.0,1.0,2.0,1.0,5.0,1.0
1946,6.0,2.0,2.0,1.0,2.0,1.0
1948,3.0,2.0,1.0,1.0,1.0,1.0
1949,6.0,2.0,1.0,1.0,6.0,1.0
1950,8.0,2.0,2.0,1.0,2.0,1.0
1969,7.0,2.0,2.0,1.0,1.0,1.0
1983,8.0,1.0,2.0,1.0,3.0,1.0
1984,7.0,1.0,3.0,1.0,2.0,1.0
1988,7.0,2.0,1.0,1.0,2.0,1.0
1989,8.0,2.0,5.0,1.0,1.0,1.0
1992,3.0,1.0,3.0,1.0,1.0,1.0
1997,7.0,1.0,2.0,1.0,3.0,1.0
1998,4.0,2.0,1.0,1.0,1.0,1.0
1999,7.0,1.0,50.0,1.0,1.0,1.0
2000,6.0,2.0,2.0,1.0,1.0,1.0
2002,3.0,1.0,3.0,1.0,2.0,1.0
2007,6.0,1.0,1.0,1.0,1.0,1.0
2009,7.0,1.0,2.0,1.0,4.0,1.0
2011,7.0,2.0,1.0,1.0,2.0,1.0
2013,7.0,1.0,4.0,1.0,3.0,1.0
2014,7.0,2.0,1.0,1.0,3.0,1.0
