nivel,p4,p34_4,p34_4_1,p3_1,p3_4,lector,edu3,infancia_grupo
4,0,1,2,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
7,2,2,0,1,2,1,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
4,2,1,1,1,2,1,Básico,Bajo
3,0,1,2,2,2,0,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
6,4,1,3,1,2,1,Medio,Medio
3,0,3,0,2,2,0,Básico,Bajo
3,0,1,3,2,2,0,Básico,Medio
4,0,1,1,2,2,0,Básico,Bajo
4,15,1,1,1,2,1,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,7,1,4,1,2,1,Superior,Medio
4,0,1,1,2,2,0,Básico,Bajo
6,0,1,1,2,2,0,Medio,Bajo
4,2,1,1,1,2,1,Básico,Bajo
4,2,1,1,1,2,1,Básico,Bajo
3,0,1,2,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,0,3,0,2,2,0,Básico,Bajo
7,1,1,1,1,2,1,Superior,Bajo
4,0,1,2,2,2,0,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
2,0,1,1,2,2,0,Básico,Bajo
7,5,1,4,1,2,1,Superior,Medio
6,0,1,1,2,2,0,Medio,Bajo
4,3,1,1,1,2,1,Básico,Bajo
4,3,1,1,1,2,1,Básico,Bajo
4,2,1,1,1,2,1,Básico,Bajo
7,4,1,2,1,1,1,Superior,Bajo
3,0,1,3,2,2,0,Básico,Medio
2,3,2,0,1,2,1,Básico,Bajo
3,2,1,1,1,1,1,Básico,Bajo
3,1,2,0,1,2,1,Básico,Bajo
5,0,1,1,2,1,0,Medio,Bajo
3,0,2,0,2,2,0,Básico,Bajo
0,0,2,0,2,2,0,Básico,Bajo
7,1,1,1,1,2,1,Superior,Bajo
7,2,1,4,1,2,1,Superior,Medio
3,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
6,10,1,1,1,2,1,Medio,Bajo
3,1,2,0,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,0,3,0,2,2,0,Básico,Bajo
6,1,3,0,1,2,1,Medio,Bajo
4,0,2,0,2,2,0,Básico,Bajo
3,1,3,0,1,2,1,Básico,Bajo
4,2,1,6,1,2,1,Básico,Alto
4,0,1,1,2,2,0,Básico,Bajo
7,4,1,1,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,1,2,0,1,2,1,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
3,0,1,6,2,2,0,Básico,Alto
3,0,1,6,2,2,0,Básico,Alto
3,0,1,1,2,2,0,Básico,Bajo
4,4,1,1,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,0,1,2,2,2,0,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
3,0,3,0,2,2,0,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,2,1,1,1,2,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
4,5,1,1,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
4,0,2,0,2,2,0,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
7,3,1,1,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
9,5,1,2,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,5,1,5,1,2,1,Superior,Alto
6,2,1,4,1,2,1,Medio,Medio
7,5,1,5,1,2,1,Superior,Alto
7,5,1,5,1,2,1,Superior,Alto
7,8,1,5,1,2,1,Superior,Alto
9,3,1,5,1,2,1,Superior,Alto
4,5,1,2,1,2,1,Básico,Bajo
7,5,1,4,1,2,1,Superior,Medio
3,0,2,0,2,2,0,Básico,Bajo
0,0,2,0,2,2,0,Básico,Bajo
5,0,1,5,2,2,0,Medio,Alto
3,0,2,0,2,2,0,Básico,Bajo
8,5,1,5,1,2,1,Superior,Alto
6,0,1,4,2,2,0,Medio,Medio
7,4,1,4,1,2,1,Superior,Medio
3,0,1,3,2,2,0,Básico,Medio
3,0,2,0,2,2,0,Básico,Bajo
4,2,2,0,1,1,1,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
4,2,2,0,1,2,1,Básico,Bajo
3,2,2,0,1,1,1,Básico,Bajo
7,0,1,3,2,2,0,Superior,Medio
4,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
7,3,1,3,1,2,1,Superior,Medio
7,2,1,4,1,2,1,Superior,Medio
6,0,1,1,2,2,0,Medio,Bajo
3,3,2,0,1,2,1,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,2,2,0,1,2,1,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
7,1,2,0,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,5,1,1,1,2,1,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
0,1,2,0,1,2,1,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,2,1,1,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,10,1,2,1,2,1,Superior,Bajo
7,1,1,2,1,2,1,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,0,1,4,2,2,0,Superior,Medio
2,0,2,0,2,2,0,Básico,Bajo
7,3,1,1,1,2,1,Superior,Bajo
2,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
4,0,2,0,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,1,1,2,1,2,1,Superior,Bajo
8,1,1,2,1,2,1,Superior,Bajo
4,0,3,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
6,0,2,0,2,2,0,Medio,Bajo
3,1,1,1,1,2,1,Básico,Bajo
3,0,1,1,2,1,0,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,3,1,4,1,2,1,Superior,Medio
4,0,1,1,2,2,0,Básico,Bajo
7,5,1,1,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,1,1,2,1,2,1,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
2,2,2,0,1,2,1,Básico,Bajo
7,1,1,2,1,2,1,Superior,Bajo
7,4,1,1,1,2,1,Superior,Bajo
6,0,2,0,2,2,0,Medio,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,6,2,0,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,4,1,1,1,2,1,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,2,1,5,1,2,1,Superior,Alto
3,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,2,1,2,1,2,1,Superior,Bajo
2,6,2,0,1,2,1,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,2,2,0,1,2,1,Básico,Bajo
4,3,1,2,1,2,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,1,1,1,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
8,3,1,1,1,2,1,Superior,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,1,1,1,1,2,1,Básico,Bajo
7,1,1,1,1,2,1,Superior,Bajo
4,2,1,5,1,2,1,Básico,Alto
7,2,2,0,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
8,0,2,0,2,1,0,Superior,Bajo
2,2,1,1,1,2,1,Básico,Bajo
99,0,1,1,2,2,0,Superior,Bajo
7,2,1,1,1,2,1,Superior,Bajo
7,3,2,0,1,2,1,Superior,Bajo
2,0,3,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
8,2,1,2,1,2,1,Superior,Bajo
7,3,1,1,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
2,2,2,0,1,2,1,Básico,Bajo
7,2,2,0,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,15,1,5,1,2,1,Superior,Alto
3,2,1,1,1,1,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,2,2,0,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
4,5,1,1,1,1,1,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
7,2,2,0,1,1,1,Superior,Bajo
4,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
8,1,1,2,1,2,1,Superior,Bajo
6,1,2,0,1,2,1,Medio,Bajo
7,1,1,5,1,2,1,Superior,Alto
7,1,1,4,1,2,1,Superior,Medio
4,2,1,1,1,2,1,Básico,Bajo
4,1,2,0,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,2,2,0,1,1,1,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
6,0,1,2,2,2,0,Medio,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,0,2,0,2,2,0,Superior,Bajo
6,0,1,1,2,2,0,Medio,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,0,1,2,2,2,0,Superior,Bajo
3,2,1,1,1,2,1,Básico,Bajo
4,5,2,0,1,1,1,Básico,Bajo
4,3,1,5,1,2,1,Básico,Alto
2,0,1,1,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
3,0,1,1,2,1,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
6,20,1,1,1,2,1,Medio,Bajo
7,1,1,1,1,2,1,Superior,Bajo
7,5,1,1,1,2,1,Superior,Bajo
7,3,1,5,1,2,1,Superior,Alto
6,0,1,1,2,2,0,Medio,Bajo
2,2,1,1,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
6,0,1,1,2,2,0,Medio,Bajo
3,0,2,0,2,2,0,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,2,2,0,1,2,1,Básico,Bajo
8,2,1,1,1,2,1,Superior,Bajo
7,5,1,2,1,2,1,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
8,4,1,2,1,2,1,Superior,Bajo
7,3,1,1,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,2,1,1,1,2,1,Básico,Bajo
99,1,2,0,1,2,1,Superior,Bajo
2,2,1,1,1,2,1,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
7,5,2,0,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
9,4,2,0,1,2,1,Superior,Bajo
7,3,1,1,1,2,1,Superior,Bajo
2,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,4,2,0,1,2,1,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
4,5,1,1,1,2,1,Básico,Bajo
7,5,1,5,1,2,1,Superior,Alto
7,4,1,5,1,2,1,Superior,Alto
6,0,2,0,2,2,0,Medio,Bajo
7,4,1,1,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,3,2,0,1,2,1,Básico,Bajo
7,1,1,2,1,2,1,Superior,Bajo
7,1,1,1,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,0,1,3,2,1,0,Superior,Medio
3,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
6,0,1,1,2,2,0,Medio,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,3,1,2,1,1,1,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
8,3,1,1,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,1,2,0,1,2,1,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,4,2,0,1,1,1,Superior,Bajo
7,5,1,1,1,1,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,3,1,2,1,2,1,Superior,Bajo
7,2,1,1,1,2,1,Superior,Bajo
6,1,2,0,1,2,1,Medio,Bajo
4,4,2,0,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,0,1,3,2,2,0,Superior,Medio
3,0,1,2,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
3,1,2,0,1,2,1,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,1,2,0,1,2,1,Básico,Bajo
2,4,2,0,1,2,1,Básico,Bajo
2,0,1,1,2,2,0,Básico,Bajo
3,3,1,1,1,1,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
7,1,1,1,1,2,1,Superior,Bajo
8,2,1,2,1,2,1,Superior,Bajo
7,8,1,2,1,2,1,Superior,Bajo
3,2,2,0,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
6,2,2,0,1,2,1,Medio,Bajo
4,0,2,0,2,2,0,Básico,Bajo
7,2,1,5,1,2,1,Superior,Alto
7,0,1,2,2,2,0,Superior,Bajo
7,6,1,4,1,1,1,Superior,Medio
7,0,1,1,2,2,0,Superior,Bajo
3,0,2,0,2,1,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,2,1,1,1,2,1,Superior,Bajo
2,1,2,0,1,2,1,Básico,Bajo
4,1,2,0,1,2,1,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,6,1,1,1,2,1,Superior,Bajo
6,0,1,1,2,2,0,Medio,Bajo
6,0,2,0,2,1,0,Medio,Bajo
6,2,1,2,1,2,1,Medio,Bajo
3,4,2,0,1,2,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
5,8,2,0,1,2,1,Medio,Bajo
2,0,2,0,2,2,0,Básico,Bajo
5,0,2,0,2,2,0,Medio,Bajo
6,1,2,0,1,2,1,Medio,Bajo
7,1,1,1,1,2,1,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
3,1,2,0,1,2,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
4,2,2,0,1,2,1,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
6,0,1,1,2,2,0,Medio,Bajo
6,2,1,1,1,2,1,Medio,Bajo
4,0,1,1,2,1,0,Básico,Bajo
6,2,1,2,1,2,1,Medio,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
6,0,1,3,2,2,0,Medio,Medio
2,0,2,0,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,1,1,1,1,2,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
3,3,2,0,1,2,1,Básico,Bajo
7,3,1,1,1,2,1,Superior,Bajo
7,2,1,5,1,2,1,Superior,Alto
6,0,1,1,2,2,0,Medio,Bajo
7,0,1,2,2,2,0,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
4,0,1,1,2,2,0,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,4,1,1,1,1,1,Superior,Bajo
4,0,1,1,2,2,0,Básico,Bajo
4,1,2,0,1,2,1,Básico,Bajo
4,1,1,2,1,2,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
4,4,1,2,1,2,1,Básico,Bajo
4,2,2,0,1,2,1,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
6,0,2,0,2,2,0,Medio,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,1,1,4,1,1,1,Superior,Medio
3,0,1,1,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
7,15,1,4,1,2,1,Superior,Medio
4,0,2,0,2,1,0,Básico,Bajo
3,0,1,2,2,2,0,Básico,Bajo
8,1,2,0,1,2,1,Superior,Bajo
6,1,2,0,1,2,1,Medio,Bajo
3,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,2,1,1,1,2,1,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
3,1,1,2,1,1,1,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
2,0,2,0,2,2,0,Básico,Bajo
8,3,1,1,1,2,1,Superior,Bajo
7,2,2,0,1,2,1,Superior,Bajo
7,2,1,1,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
6,0,3,0,2,2,0,Medio,Bajo
4,3,1,1,1,2,1,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
6,0,1,1,2,2,0,Medio,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,12,1,2,1,2,1,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,0,1,1,2,2,0,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
4,1,1,1,1,1,1,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
2,30,2,0,1,2,1,Básico,Bajo
3,8,1,1,1,2,1,Básico,Bajo
7,0,1,2,2,2,0,Superior,Bajo
7,2,1,2,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
8,2,1,5,1,1,1,Superior,Alto
7,0,1,5,2,2,0,Superior,Alto
7,11,1,3,1,1,1,Superior,Medio
4,2,1,1,1,2,1,Básico,Bajo
4,70,1,5,1,1,1,Básico,Alto
2,1,2,0,1,2,1,Básico,Bajo
0,0,2,0,2,2,0,Básico,Bajo
4,0,2,0,2,2,0,Básico,Bajo
4,0,1,1,2,1,0,Básico,Bajo
2,1,1,1,1,2,1,Básico,Bajo
3,2,2,0,1,2,1,Básico,Bajo
7,0,1,3,2,2,0,Superior,Medio
9,15,1,1,1,2,1,Superior,Bajo
6,0,2,0,2,2,0,Medio,Bajo
7,15,1,3,1,2,1,Superior,Medio
7,0,1,2,2,1,0,Superior,Bajo
4,2,1,1,1,2,1,Básico,Bajo
6,0,2,0,2,2,0,Medio,Bajo
2,0,2,0,2,2,0,Básico,Bajo
3,1,2,0,1,2,1,Básico,Bajo
8,0,1,1,2,2,0,Superior,Bajo
4,0,1,5,2,2,0,Básico,Alto
2,3,2,0,1,2,1,Básico,Bajo
3,1,1,2,1,2,1,Básico,Bajo
7,2,1,2,1,2,1,Superior,Bajo
7,5,1,3,1,2,1,Superior,Medio
